half_day_key,prev_num_articles_ma1_10,prev_extremely_positive_count_ma1_5,prev_atr_lag9,prev_macd_signal_lag4,prev_rsi_ma5,prev_bb_lower_lag10,prev_quote_volume_ma8,prev_macd_hist_std8_ma,prev_williams_r_ma7,volume_prev_ma10,prev_quote_volume_ma7,prev_close_ma5,prev_avg_sentiment_std1_6_ma,prev_macd_hist_std7_ma,prev_extremely_positive_count_ma1_4,prev_extremely_negative_count_lag5,prev_taker_buy_base_volume_std7_ma,avg_sentiment_news_prev_std5_ma,2_periods_back_back_change_pct,2_periods_back_back_change_pct_lag1,2_periods_back_back_change_pct_lag4,prev_avg_sentiment_lag4,prev_min_sentiment_lag10,2_periods_back_back_change_pct_lag8,prev_std_sentiment_lag1,prev_min_sentiment_lag1,prev_std_sentiment_lag3,prev_rsi_std2_ma,prev_taker_buy_quote_volume_lag10,prev_median_sentiment_lag8,,Indicator
2021-02-01_H1,12.7,1.6,2301.673152,-674.5883126,50.73826031,29766.34191,2040410957,207.7208831,-41.79649741,1434671560,2160592332,33794.356,0.659800917,213.3620823,1.5,1,16666.67432,1.808275138,-0.013290701,-0.021218422,-0.077793181,0.089166667,-0.16,-0.008466301,2.433317352,-0.24,1.156355626,1.271009494,675733523.2,0.465,,1
2021-02-01_H2,13.1,2,2309.287213,-583.3030702,50.71181028,29394.34043,2099560551,214.0083451,-44.90273717,1431892257,2148867505,33782.882,0.655093123,210.5759573,2.25,2,18835.01703,1.84608604,0.031725644,-0.013290701,-0.017022908,1.0875,-3.55,0.034298665,1.367539965,-0.23,1.528442562,1.73423007,527456183,2.22,,0
2021-02-02_H1,13.2,2,2289.661697,-490.8508383,50.58762792,29065.58254,2020188888,212.7091743,-51.02455342,1285357843,1663090170,33756.268,1.036690188,191.2335981,2,0,18073.99663,1.807004717,-0.019265261,0.031725644,0.019270243,1.238333333,0.16,0.062839806,1.425155798,-0.33,2.433317352,1.993203028,912623602.1,0.33,,1
2021-02-02_H2,13.1,2,2313.401576,-412.5574177,50.88251956,29040.23029,1634515565,196.7166756,-50.30497641,1286159879,1342915872,33837.416,1.053728432,162.5344873,2.25,0,16073.20983,1.868625849,0.035413351,-0.019265261,-0.021218422,2.116666667,0.09,0.110560171,3.036606293,-4.81,1.367539965,2.111259112,601128611.9,0.45,,1
2021-02-03_H1,12.1,2.6,2582.058606,-353.8049984,52.0558069,29259.98801,1335279958,172.1618771,-47.52809649,2036230017,1282101390,34224.372,1.062588757,129.3411568,2.75,0,14041.57056,1.751079945,0.023064167,0.035413351,-0.013290701,0.859,-4.54,-0.077793181,1.351649582,-3.1,1.425155798,2.134075567,867827544.6,0.21,,1
2021-02-03_H2,10.6,2.4,2757.047277,-292.1781084,53.81824832,29309.15399,1295866966,144.9666426,-44.90392774,1809961312,1312852229,34792.094,0.841896451,97.14299758,2,0,12027.2057,1.890190925,0.012875646,0.023064167,0.031725644,0.942380952,-3.29,-0.017022908,1.559022601,-2.12,3.036606293,1.323276508,2342688413,0.625,,1
2021-02-04_H1,10.6,2,2710.686758,-241.7956195,55.8015328,29461.49665,1343621549,120.1527972,-38.76448253,1668700103,1407538696,35488.62,0.836548299,79.04759084,2.25,0,9637.429588,2.093983528,0.047121283,0.012875646,-0.019265261,-1.035555556,-4.68,0.019270243,2.025021536,-4.74,1.351649582,2.142626843,1779252621,0.405,,0
2021-02-04_H2,11.9,2.4,2616.306989,-181.5048728,57.96816738,29491.02758,1474663013,101.6949019,-33.02571884,1717595399,1486266368,36256.598,0.797950223,76.94564946,2.5,4,7359.095004,2.286565319,-0.008002423,0.047121283,0.035413351,0.292142857,0.32,-0.021218422,1.376486524,0.01,1.559022601,2.05948184,838653353.5,1.97,,0
2021-02-05_H1,14.1,3.2,2510.69149,-105.8472461,59.04059186,29610.94538,1489000046,91.24053892,-30.06460336,1787979089,1462808896,36708.57,0.449766292,85.57165339,3,1,4988.585048,2.510849604,-0.010499031,-0.008002423,0.023064167,1.325294118,0.11,-0.013290701,1.519256058,-2.21,2.025021536,1.040364397,603328047.2,0.25,,1
2021-02-05_H2,15,3,2477.665669,-16.25502379,60.11551269,29652.1858,1421584834,90.56970193,-24.59003003,1808264979,1464748586,37148.274,0.436712905,89.64895663,3.5,1,3735.235987,2.910851534,0.019996258,-0.010499031,0.012875646,0.067,-0.24,0.031725644,2.47337355,-4.82,1.376486524,1.391714072,436765363.1,0.34,,1
2021-02-06_H1,15.5,3.8,2473.625979,103.7277802,61.23888304,29873.97158,1453687750,93.95424574,-19.64222111,1840784721,1456429809,37613.956,0.440720374,91.20976022,4.25,1,3567.875583,2.88617335,0.015568507,0.019996258,0.047121283,0.806666667,-0.23,-0.019265261,1.771447576,-1.65,1.519256058,1.413336937,645737188.4,-0.15,,1
2021-02-06_H2,14.4,3.8,2391.705552,231.4923225,62.43868652,29973.00648,1542757335,95.58682523,-15.40931736,1903475192,1580032874,38127.302,0.350338762,92.30754319,4,0,3722.237012,2.553995381,0.050478149,0.015568507,-0.008002423,0.504705882,-0.33,0.035413351,2.113920528,-3.12,2.47337355,2.363390271,869115184.9,0.23,,0
2021-02-07_H1,14.7,3.6,2381.590869,350.7651753,62.92503851,29987.8143,1604409406,95.75064254,-14.34525727,1942708655,1634721322,38505.538,0.356645539,90.16488488,3,1,3871.055204,2.255002524,-0.02427836,0.050478149,-0.010499031,0.342857143,-4.81,0.023064167,2.4746809,-4.73,1.771447576,3.455813786,544043781.9,0.98,,0
2021-02-07_H2,13.7,2.6,2329.429379,469.7038163,63.61478852,30097.20845,1634063361,92.97486852,-15.94885026,1945272925,1644785728,38925.978,0.481986449,82.29960466,2.5,3,4163.079312,1.946168993,-0.004619399,-0.02427836,0.019996258,0.785833333,-3.1,0.012875646,2.097064868,-4.69,2.113920528,1.942020069,737336011,0.33,,0
2021-02-08_H1,12.9,2,2268.942994,590.6828886,63.6057304,30123.39091,1642570481,89.31050651,-16.88721792,1153210707,1599432945,39155.152,0.467269914,74.18319343,1.25,0,4285.425017,1.59740077,-0.005546797,-0.004619399,0.015568507,1.338,-2.12,0.047121283,1.770487221,0.09,2.4746809,0.671589546,627454953.6,0.285,,1
2021-02-08_H2,13.2,1.8,2239.142066,735.721601,63.6404019,30063.77622,1553574004,84.88947257,-15.96010657,1120236907,1560065178,39384.986,0.486535195,69.04866019,1.75,1,4542.478498,1.207253733,0.015194441,-0.005546797,0.050478149,0.543,-4.74,-0.008002423,0.350776915,0.04,2.097064868,1.130076498,696637718.8,0.13,,1
2021-02-09_H1,13,1.8,2225.333347,870.3977811,65.45435235,29897.1088,1946178975,84.50381465,-14.18566719,1513599903,2062345058,40623.654,0.468320133,72.46523867,1.75,1,6077.326452,0.978098212,0.176839948,0.015194441,-0.02427836,0.509166667,0.01,-0.010499031,2.340947649,-3.14,1.770487221,5.586044583,759610327.3,0.265,,1
2021-02-09_H2,12.3,1.6,2182.229537,987.2961236,68.23600505,29784.58966,2197392878,92.68698014,-15.09411172,1656228160,2314697304,42059.826,0.435151287,89.8567785,1.75,1,7564.702462,0.738735894,0.000225249,0.176839948,-0.004619399,1.5225,-2.21,0.019996258,1.323542805,-0.17,0.350776915,4.896209624,990725773.6,0.15,,1
2021-02-10_H1,11.5,2.4,2114.213141,1080.670287,71.16148311,29876.3183,2305801114,109.3709617,-16.53753675,1697921025,2328479841,43544.616,0.370218505,116.6629541,3,0,8824.023299,0.57247356,0.001328371,0.000225249,-0.005546797,0.417777778,-4.82,0.015568507,1.246340867,0.03,2.340947649,0.022901718,716984240.3,0.64,,1
2021-02-10_H2,11.9,2.8,2040.349345,1161.951699,74.38504464,30029.62142,2273303987,131.269473,-15.46338617,1761637153,2344483824,45098.212,0.334922036,150.8724987,2.5,0,10098.3433,0.593162102,0.002735566,0.001328371,0.015194441,1.207692308,-1.65,0.050478149,1.566442416,-0.3,1.323542805,0.109602276,568914570.4,0.265,,0
2021-02-11_H1,12.3,3,2056.318678,1339.656128,75.46302479,30097.48947,2369495486,155.79044,-16.33512664,1860106277,2475215179,46177.32,0.198412062,182.8459808,3.25,1,11324.76494,0.641230932,-0.038206952,0.002735566,0.176839948,1.219,-3.12,-0.02427836,1.579145207,-3.4,1.246340867,3.189753461,663799309.4,0.36,,1
2021-02-11_H2,12,2.8,2046.594487,1565.524253,74.2698472,30366.56574,2335741563,181.6731461,-15.25308504,1821554461,2436981251,46103.68,0.214732314,205.6078275,3.25,0,12702.72653,0.711409496,0.027070814,-0.038206952,0.000225249,1.059,-4.73,-0.004619399,1.386086459,-0.92,1.566442416,3.978667565,1179665151,1.035,,1
2021-02-12_H1,12.8,4.2,2027.337738,1806.802123,73.73876953,31031.07686,2485634180,200.3668729,-13.29133694,1933590033,2664644574,46415.342,0.361457579,212.4626041,4,0,13896.14003,0.873145651,0.042044784,0.027070814,0.001328371,1.2195,-4.69,-0.005546797,1.915878513,-1.97,1.579145207,2.051770388,885515596.2,0.35,,0
2021-02-12_H2,13,3.4,2019.791471,2043.622936,72.81358697,31594.45026,2579925074,208.7665395,-14.57293537,1963721431,2284346434,46644.666,0.478945103,216.7456866,3.75,0,12797.24294,1.053406111,-0.00729052,0.042044784,0.002735566,0.710625,0.09,0.015194441,1.610562177,0.01,1.386086459,1.849939609,793520460.5,0.73,,0
2021-02-13_H1,13.2,3.6,1983.384937,2232.195198,71.57159638,31872.07488,2260513547,217.2530638,-14.83601182,2009063026,2134482965,46804.414,0.476602742,215.2469607,3.25,1,11526.04903,1.155491532,-0.004630039,-0.00729052,-0.038206952,1.006315789,0.04,0.176839948,2.765108798,-4.11,1.915878513,1.147126087,780962447.1,0.74,,0
2021-02-13_H2,12.7,3.2,2391.746013,2395.55871,71.4025175,31785.65511,2078111259,223.0659163,-15.85400755,2030818089,2054480327,47155.336,0.572143848,209.6533435,3.75,0,10298.62685,1.213483717,-0.017412683,-0.004630039,0.027070814,0.782857143,-3.14,0.000225249,1.825913968,-0.7,1.610562177,1.674019881,617102964.8,0.6,,1
2021-02-14_H1,12.4,3.2,2409.634869,2559.539462,70.99402542,30751.42402,1963195390,225.4915845,-16.30136541,1571743265,1974070016,47385.958,0.592618699,200.6538849,2,0,9180.197187,1.34616331,0.013146659,-0.017412683,0.042044784,1.715,-0.17,0.001328371,1.89037978,0.09,2.765108798,1.658782957,2452210875,0.545,,1
2021-02-14_H2,12.9,2.4,2418.828093,2702.982356,70.70512817,30353.46422,1971206411,221.4603994,-12.73958533,1381555334,1889296310,47603.34,0.576205107,193.3844448,2.75,0,8040.26461,1.390682974,0.039616224,0.013146659,-0.00729052,0.316666667,0.03,0.002735566,1.204127821,-0.24,1.825913968,1.839959451,1598335726,0.575,,0
2021-02-15_H1,11.7,2.8,2368.913229,2815.487768,70.31586966,30186.00757,1857340167,217.021811,-11.63558559,1294918105,1928470727,47802.676,0.502478044,191.825704,2.75,1,6784.754501,1.457772213,-0.008967046,0.039616224,-0.004630039,1.197272727,-0.3,-0.038206952,2.025076601,-2.98,1.89037978,2.238770762,1081115310,0.55,,0
2021-02-15_H2,11.8,2.6,2404.443713,2885.144816,69.42058667,30352.32161,1961977899,215.1107464,-13.36249827,1337218892,1838516930,47878.876,0.6177758,200.4563584,2.5,0,5330.327693,1.452668507,-0.017189736,-0.008967046,-0.017412683,1.8325,-3.4,0.027070814,2.962468806,-4.44,1.204127821,2.21907477,995686012.7,0.51,,1
2021-02-16_H1,11.4,3.2,2415.01559,2926.724081,69.26056437,30994.46354,1806913683,216.3044444,-15.9237708,1212438815,1781202985,48144.266,0.618853073,202.9042341,3.75,0,4861.485658,1.376278864,0.002508964,-0.017189736,0.013146659,0.757142857,-0.92,0.042044784,2.102290767,-4.48,2.025076601,1.461250044,1194545226,1.095,,1
2021-02-16_H2,12.4,3.2,2429.57662,2972.19133,69.3409622,31482.7667,1794250258,221.2308065,-16.30469237,1229966812,1751474104,48482.456,0.476720554,196.8126352,3,0,4598.354471,1.279980547,0.020376118,0.002508964,0.039616224,0.990666667,-1.97,-0.00729052,2.345481979,-4.74,2.962468806,0.976486538,685889459.6,0.39,,1
2021-02-17_H1,11.7,3.2,2412.949718,3003.321638,68.74378697,32089.06106,1840590167,217.061402,-16.55424871,1198410527,1863030288,48500.764,0.596014748,185.4948901,3.25,2,4400.094634,1.162538254,0.005547779,0.020376118,-0.008967046,0.9325,0.01,-0.004630039,1.396762012,-3.81,2.102290767,1.067174962,1472446463,0.35,,1
2021-02-17_H2,11.8,2.6,2385.239024,3004.622004,69.55835268,32714.36843,1927000346,203.6079816,-15.0321629,1246491755,2013114563,49026.656,0.617122824,171.6087,2.75,1,4039.552681,1.063345151,0.042649502,0.005547779,-0.017189736,-0.064705882,-4.11,-0.017412683,2.043447,-2.35,2.345481979,1.828492668,1004697057,1.075,,1
